Ecoregion,Country,Site,Latitude,Longitude,Genus,Species,Taxon,N_min,Date,Start_decimal,STrSS,Gamete_release,DoSRtNFM,ToSS_decimal,ToSR_decimal,daylen_decimal,sunset,sunrise
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,-14.279444444444445,-170.70083333333332,Porites,cylindrica,Porites  cylindrica,1.0,1988-10-27,20.5,2.116666666666667,Sperm,3,18.383333333333333,5.816666666666666,13.34,18.23,5.49
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,-14.279444444444445,-170.70083333333332,Porites,cylindrica,Porites  cylindrica,15.0,1995-11-09,20.583333333333332,2.116666666666667,Sperm,3,18.466666666666665,5.75,13.42,18.27,5.45
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,-14.279444444444445,-170.70083333333332,Acropora,muricata,Acropora  muricata,1.0,1995-11-10,20.333333333333332,1.8666666666666671,Bundles,4,18.466666666666665,5.75,13.43,18.28,5.45
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,-14.279444444444445,-170.70083333333332,Merulina,ampliata,Merulina  ampliata,6.0,1995-11-11,19.75,1.283333333333335,Bundles,5,18.466666666666665,5.733333333333333,13.44,18.28,5.44
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,-14.279444444444445,-170.70083333333332,Montipora,grisea,Montipora  grisea,3.0,1995-11-11,20.75,2.283333333333335,Bundles,5,18.466666666666665,5.733333333333333,13.44,18.28,5.44
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,-14.279444444444445,-170.70083333333332,Montipora,turgescens,Montipora  turgescens,3.0,1995-11-11,19.75,1.283333333333335,Bundles,5,18.466666666666665,5.733333333333333,13.44,18.28,5.44
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,-14.279444444444445,-170.70083333333332,Oxypora,lacera,Oxypora  lacera,1.0,1995-11-11,20.5,2.033333333333335,Bundles,5,18.466666666666665,5.733333333333333,13.44,18.28,5.44
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,-14.279444444444445,-170.70083333333332,Lobophyllia,hemprichii,Lobophyllia  hemprichii,6.0,1995-11-12,18.75,0.2666666666666657,Sperm,6,18.483333333333334,5.733333333333333,13.45,18.29,5.44
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,-14.279444444444445,-170.70083333333332,Oxypora,lacera,Oxypora  lacera,5.0,1995-11-12,20.5,2.0166666666666657,Bundles,6,18.483333333333334,5.733333333333333,13.45,18.29,5.44
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,-18.929444444444446,147.75722222222223,Astreopora,myriophthalma,Astreopora  myriophthalma,1.0,1983-11-25,21.15,2.6666666666666643,Bundles,5,18.483333333333334,5.366666666666666,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,-18.929444444444446,147.75722222222223,Australogyra,zelli,Australogyra  zelli,1.0,1983-11-25,22.566666666666666,4.083333333333332,Bundles,5,18.483333333333334,5.366666666666666,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,-18.929444444444446,147.75722222222223,Echinophyllia,orpheensis,Echinophyllia  orpheensis,1.0,1983-11-25,21.9,3.4166666666666643,Bundles,5,18.483333333333334,5.366666666666666,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,-18.929444444444446,147.75722222222223,Goniastrea,edwardsi,Goniastrea  edwardsi,3.0,1983-11-25,21.9,3.4166666666666643,Bundles,5,18.483333333333334,5.366666666666666,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,-18.929444444444446,147.75722222222223,Lobophyllia,radians,Lobophyllia  radians,1.0,1983-11-25,20.15,1.6666666666666643,Bundles,5,18.483333333333334,5.366666666666666,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,-18.929444444444446,147.75722222222223,Mycedium,elephantotus,Mycedium  elephantotus,1.0,1983-11-25,21.9,3.4166666666666643,Bundles,5,18.483333333333334,5.366666666666666,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,-18.929444444444446,147.75722222222223,Sandalolitha,robusta,Sandalolitha  robusta,1.0,1983-11-25,21.983333333333334,3.5,Eggs,5,18.483333333333334,5.366666666666666,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,-18.929444444444446,147.75722222222223,Astrea,curta,Astrea  curta,1.0,1983-11-26,21.15,2.6666666666666643,Bundles,6,18.483333333333334,5.366666666666666,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,-18.929444444444446,147.75722222222223,Astreopora,myriophthalma,Astreopora  myriophthalma,1.0,1983-11-26,21.15,2.6666666666666643,Bundles,6,18.483333333333334,5.366666666666666,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,-18.929444444444446,147.75722222222223,Dipsastraea,pallida,Dipsastraea  pallida,1.0,1983-11-26,20.65,2.1666666666666643,Bundles,6,18.483333333333334,5.366666666666666,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,-18.929444444444446,147.75722222222223,Mycedium,elephantotus,Mycedium  elephantotus,1.0,1983-11-26,21.916666666666668,3.4333333333333336,Bundles,6,18.483333333333334,5.366666666666666,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,-18.929444444444446,147.75722222222223,Platygyra,daedalea,Platygyra  daedalea,1.0,1983-11-26,22.15,3.6666666666666643,Bundles,6,18.483333333333334,5.366666666666666,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,-18.929444444444446,147.75722222222223,Platygyra,daedalea,Platygyra  daedalea,1.0,1983-11-27,22.166666666666668,3.666666666666668,Bundles,7,18.5,5.366666666666666,13.8,18.3,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,-18.95,148.71666666666667,Acropora,gemmifera,Acropora  gemmifera,1.0,1982-12-06,20.0,1.466666666666665,Bundles,5,18.533333333333335,5.316666666666666,13.13,18.32,5.19
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,-18.95,148.71666666666667,Acropora,humilis,Acropora  humilis,1.0,1982-12-06,20.0,1.466666666666665,Bundles,5,18.533333333333335,5.316666666666666,13.13,18.32,5.19
