Ecoregion,Country,Site,Genus,Species,Taxon,N_min,Date,Start_decimal,Gamete_release,DoSRtNFM,daylen_decimal,sunset,sunrise
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Porites,cylindrica,Porites  cylindrica,1.0,1988-10-27,20.5,Sperm,3,13.34,18.23,5.49
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Porites,cylindrica,Porites  cylindrica,15.0,1995-11-09,20.58333333333333,Sperm,3,13.42,18.27,5.45
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Acropora,muricata,Acropora  muricata,1.0,1995-11-10,20.33333333333333,Bundles,4,13.43,18.28,5.45
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Merulina,ampliata,Merulina  ampliata,6.0,1995-11-11,19.75,Bundles,5,13.44,18.28,5.44
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Montipora,grisea,Montipora  grisea,3.0,1995-11-11,20.75,Bundles,5,13.44,18.28,5.44
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Montipora,turgescens,Montipora  turgescens,3.0,1995-11-11,19.75,Bundles,5,13.44,18.28,5.44
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Oxypora,lacera,Oxypora  lacera,1.0,1995-11-11,20.5,Bundles,5,13.44,18.28,5.44
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Lobophyllia,hemprichii,Lobophyllia  hemprichii,6.0,1995-11-12,18.75,Sperm,6,13.45,18.29,5.44
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Oxypora,lacera,Oxypora  lacera,5.0,1995-11-12,20.5,Bundles,6,13.45,18.29,5.44
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Astreopora,myriophthalma,Astreopora  myriophthalma,1.0,1983-11-25,21.15,Bundles,5,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Australogyra,zelli,Australogyra  zelli,1.0,1983-11-25,22.566666666666663,Bundles,5,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Echinophyllia,orpheensis,Echinophyllia  orpheensis,1.0,1983-11-25,21.9,Bundles,5,13.7,18.29,5.22
